"","name","value"
"1","id_empresa","Identificador de empresa"
"2","anio","Año"
"3","situacion","Condición de actividades"
"4","forma_institucional","Forma Institucional"
"5","unidad_legal_tipo","Tipo de unidad legal"
"6","clase_contribuyente","Clase de contribuyente fiscal"
"7","obligado_llevar_contabilidad","Obligado a llevar contabilidad"
"8","gsectores","Sectores Económicos"
"9","codigo_seccion","Código CIIU4 - Sección (1 dígito)"
"10","codigo_division","Código CIIU4 - División (2 dígitos)"
"11","codigo_clase","Código CIIU4 - Clase (4 dígitos)"
"12","zona_planif","Zonas de Planificación"
"13","codigo_provincia","Provincia"
"14","codigo_canton","Cantón"
"15","ventas_totales","Ventas totales"
"16","ventas_nacionales","Ventas nacionales"
"17","exportaciones_netas","Exportaciones"
"18","ventas_rimpe","Ventas RIMPE"
"19","ventas_totales_rimpe","Ventas totales incluido RIMPE"
"20","plazas_equiv","Plazas de empleo registrado equivalente"
"21","plazas_equiv_hombres","Plazas de empleo registrado equivalente hombres"
"22","plazas_equiv_mujeres","Plazas de empleo registrado equivalente mujeres"
"23","plazas","Plazas de empleo registrado promedio"
"24","plazas_hombres","Plazas de empleo registrado promedio hombres"
"25","plazas_mujeres","Plazas de empleo registrado promedio mujeres"
"26","plazas_ult","Plazas de empleo registrado último"
"27","plazas_ult_hombres","Plazas de empleo registrado último hombres"
"28","plazas_ult_mujeres","Plazas de empleo registrado último mujeres"
"29","plazas_iess_trim_1","Plazas de empleo registrado trimestre I"
"30","plazas_iess_trim_2","Plazas de empleo registrado trimestre II"
"31","plazas_iess_trim_3","Plazas de empleo registrado trimestre III"
"32","plazas_iess_trim_4","Plazas de empleo registrado trimestre IV"
"33","plazas_rango_edad_1","Plazas de empleo registrado equivalente entre 15 y 17 años"
"34","plazas_rango_edad_2","Plazas de empleo registrado equivalente entre 18 y 29 años"
"35","plazas_rango_edad_3","Plazas de empleo registrado equivalente entre 30 y 44 años"
"36","plazas_rango_edad_4","Plazas de empleo registrado equivalente entre 45 y 64 años"
"37","plazas_rango_edad_5","Plazas de empleo registrado equivalente entre 65 y más"
"38","plazas_ult_rango_edad_1","Plazas de empleo registrado último entre 15 y 17 años"
"39","plazas_ult_rango_edad_2","Plazas de empleo registrado último entre 18 y 29 años"
"40","plazas_ult_rango_edad_3","Plazas de empleo registrado último entre 30 y 44 años"
"41","plazas_ult_rango_edad_4","Plazas de empleo registrado último entre 45 y 64 años"
"42","plazas_ult_rango_edad_5","Plazas de empleo registrado último entre 65 y más"
"43","empleo_equiv","Empleo registrado equivalente"
"44","empleo_equiv_hombres","Empleo registrado equivalente hombres"
"45","empleo_equiv_mujeres","Empleo registrado equivalente mujeres"
"46","empleo","Empleo registrado promedio"
"47","empleo_hombres","Empleo registrado promedio hombres"
"48","empleo_mujeres","Empleo registrado promedio mujeres"
"49","empleo_ult","Empleo registrado último"
"50","empleo_ult_hombres","Empleo registrado último hombres"
"51","empleo_ult_mujeres","Empleo registrado último mujeres"
"52","empleo_iess_trim_1","Empleo registrado trimestre I"
"53","empleo_iess_trim_2","Empleo registrado trimestre II"
"54","empleo_iess_trim_3","Empleo registrado trimestre III"
"55","empleo_iess_trim_4","Empleo registrado trimestre IV"
"56","empleo_rango_edad_1","Empleo registrado equivalente entre 15 y 17 años"
"57","empleo_rango_edad_2","Empleo registrado equivalente entre 18 y 29 años"
"58","empleo_rango_edad_3","Empleo registrado equivalente entre 30 y 44 años"
"59","empleo_rango_edad_4","Empleo registrado equivalente entre 45 y 64 años"
"60","empleo_rango_edad_5","Empleo registrado equivalente entre 65 y más"
"61","empleo_ult_rango_edad_1","Empleo registrado último entre 15 y 17 años"
"62","empleo_ult_rango_edad_2","Empleo registrado último entre 18 y 29 años"
"63","empleo_ult_rango_edad_3","Empleo registrado último entre 30 y 44 años"
"64","empleo_ult_rango_edad_4","Empleo registrado último entre 45 y 64 años"
"65","empleo_ult_rango_edad_5","Empleo registrado último entre 65 y más"
"66","remuneraciones","Remuneraciones"
"67","remuneraciones_hombres","Remuneraciones hombres"
"68","remuneraciones_mujeres","Remuneraciones mujeres"
"69","estrato_ventas","Estrato de ventas"
"70","estrato_plazase","Estrato plazas registrado equivalente"
"71","estrato_empleoe","Estrato empleo registrado equivalente"
"72","estrato_plazasp","Estrato plazas de empleo registrado promedio"
"73","estrato_empleop","Estrato empleo registrado promedio"
"74","estrato_plazasu","Estrato plazas de empleo registrado último"
"75","estrato_empleou","Estrato empleo registrado último"
"76","estrato_ventas_cop","Estrato de ventas COP"
"77","estrato_plazas_cop","Estrato plazas de empleo registrado COP"
"78","rimpe","Tipo_rimpe"
"79","tamanoe_plazas","Tamaño de empresas con plazas de empleo registrado equivalente"
"80","tamanoe_empleo","Tamaño de empresas con empleo registrado equivalente"
"81","tamanop_plazas","Tamaño de empresas con plazas de empleo registrado"
"82","tamanop_empleo","Tamaño de empresas con empleo registrado"
"83","tamanou_plazas","Tamaño de empresas con plazas de empleo registrado último"
"84","tamanou_empleo","Tamaño de empresas con empleo registrado último"
"85","tamano_cop","Tamaño de empresas con plazas de empleo registrado COP"
"86","estructura_estrat","Estructura para la estratificación de empresas"
"87","propietarios_sexo","Propietarios de empresas por sexo"
"88","fecha_inicio_actividad","Fecha inicio de actividades"
"89","fecha_cese_actividad","Fecha cese legal de actividades"
"90","fecha_reinicio_actividad","Fecha reinicio legal de actividades"
"91","fecha_inscripcion","Fecha inscripcion del RUC"
"92","fecha_actualizacion","Última actualizacion de datos legales"
"93","fecha_suspension_definitiva","Fecha suspensión de actividades"
